subject,condition,trial_type,trial_num,fixation_position,target_item,selected_item,correct,excluded
2,left,training,2,,7,1,0,False
2,left,training,3,,5,1,0,False
2,left,training,4,,0,6,0,False
2,left,training,5,,2,7,0,False
2,left,training,6,,4,4,1,False
2,left,training,7,,1,3,0,False
2,left,training,8,,0,4,0,False
2,left,training,9,,3,7,0,False
2,left,training,10,,5,5,1,False
2,left,training,11,,6,2,0,False
2,left,training,12,,1,6,0,False
2,left,training,13,,7,7,1,False
2,left,training,14,,4,4,1,False
2,left,training,15,,2,3,0,False
2,left,training,16,,2,2,1,False
2,left,training,17,,5,5,1,False
2,left,training,18,,0,4,0,False
2,left,training,19,,7,7,1,False
2,left,training,20,,6,7,0,False
2,left,training,21,,4,0,0,False
2,left,training,22,,1,1,1,False
2,left,training,23,,3,3,1,False
2,left,training,24,,6,7,0,False
2,left,training,25,,3,3,1,False
2,left,training,26,,7,6,0,False
2,left,training,27,,4,4,1,False
2,left,training,28,,2,2,1,False
2,left,training,29,,1,1,1,False
2,left,training,30,,5,5,1,False
2,left,training,31,,0,4,0,False
2,left,training,32,,5,5,1,False
2,left,training,33,,0,0,1,False
2,left,training,34,,1,6,0,False
2,left,training,35,,7,7,1,False
2,left,training,36,,2,6,0,False
2,left,training,37,,6,6,1,False
2,left,training,38,,4,4,1,False
2,left,training,39,,3,3,1,False
2,left,training,40,,2,6,0,False
2,left,training,41,,0,0,1,False
2,left,training,42,,1,1,1,False
2,left,training,43,,3,3,1,False
2,left,training,44,,6,6,1,False
2,left,training,45,,5,5,1,False
2,left,training,46,,4,4,1,False
2,left,training,47,,7,7,1,False
2,left,training,48,,1,1,1,False
2,left,training,49,,0,0,1,False
2,left,training,50,,5,5,1,False
2,left,training,51,,3,3,1,False
2,left,training,52,,2,2,1,False
2,left,training,53,,6,6,1,False
2,left,training,54,,4,4,1,False
2,left,training,55,,7,7,1,False
2,left,training,56,,5,5,1,False
2,left,training,57,,2,2,1,False
2,left,training,58,,0,0,1,False
2,left,training,59,,7,7,1,False
2,left,training,60,,6,6,1,False
2,left,training,61,,4,4,1,False
2,left,training,62,,1,1,1,False
2,left,training,63,,3,3,1,False
2,left,test,0,5,3,3,1,False
2,left,test,1,1,7,7,1,False
2,left,test,2,5,7,7,1,False
2,left,test,3,5,6,6,1,False
2,left,test,4,1,4,4,1,False
2,left,test,5,4,5,1,0,False
2,left,test,6,1,1,1,1,False
2,left,test,7,0,5,5,1,False
2,left,test,8,3,7,7,1,False
2,left,test,9,2,6,6,1,False
2,left,test,10,0,6,6,1,False
2,left,test,11,3,2,2,1,False
2,left,test,12,0,2,2,1,False
2,left,test,13,5,2,2,1,False
2,left,test,14,6,7,4,0,False
2,left,test,15,2,3,3,1,False
2,left,test,16,6,4,4,1,False
2,left,test,17,2,2,2,1,False
2,left,test,18,2,1,1,1,False
2,left,test,19,2,7,7,1,False
2,left,test,20,2,0,0,1,False
2,left,test,21,3,1,1,1,False
2,left,test,22,4,2,2,1,False
2,left,test,23,6,0,3,0,False
2,left,test,24,0,4,4,1,False
