subject,condition,trial_type,trial_num,target_item,selected_item,correct,landing_position,excluded
2,left,training,19,3,3,1,,False
2,left,training,20,5,5,1,,False
2,left,training,21,1,1,1,,False
2,left,training,22,4,4,1,,False
2,left,training,23,0,0,1,,False
2,left,training,24,5,5,1,,False
2,left,training,25,7,7,1,,False
2,left,training,26,4,4,1,,False
2,left,training,27,2,2,1,,False
2,left,training,28,6,6,1,,False
2,left,training,29,0,0,1,,False
2,left,training,30,3,3,1,,False
2,left,training,31,1,1,1,,False
2,left,training,32,7,7,1,,False
2,left,training,33,3,3,1,,False
2,left,training,34,6,6,1,,False
2,left,training,35,4,4,1,,False
2,left,training,36,0,0,1,,False
2,left,training,37,2,2,1,,False
2,left,training,38,1,1,1,,False
2,left,training,39,5,5,1,,False
2,left,training,40,4,4,1,,False
2,left,training,41,3,3,1,,False
2,left,training,42,7,7,1,,False
2,left,training,43,0,0,1,,False
2,left,training,44,2,2,1,,False
2,left,training,45,6,3,0,,False
2,left,training,46,1,1,1,,False
2,left,training,47,5,5,1,,False
2,left,training,48,0,0,1,,False
2,left,training,49,5,5,1,,False
2,left,training,50,1,1,1,,False
2,left,training,51,6,6,1,,False
2,left,training,52,2,2,1,,False
2,left,training,53,3,3,1,,False
2,left,training,54,7,7,1,,False
2,left,training,55,4,4,1,,False
2,left,training,56,7,7,1,,False
2,left,training,57,1,1,1,,False
2,left,training,58,6,6,1,,False
2,left,training,59,0,0,1,,False
2,left,training,60,5,5,1,,False
2,left,training,61,2,2,1,,False
2,left,training,62,4,4,1,,False
2,left,training,63,3,3,1,,False
2,left,test,0,7,7,1,59,False
2,left,test,1,3,3,1,118,False
2,left,test,2,0,0,1,111,False
2,left,test,3,4,4,1,95,False
2,left,test,4,4,4,1,77,False
2,left,test,5,7,7,1,77,False
2,left,test,6,3,3,1,98,False
2,left,test,7,2,2,1,124,False
2,left,test,8,5,5,1,52,False
2,left,test,9,2,2,1,50,False
2,left,test,10,6,6,1,55,False
2,left,test,11,1,1,1,112,False
2,left,test,12,3,3,1,42,False
2,left,test,13,6,6,1,65,False
2,left,test,14,1,1,1,73,False
2,left,test,15,2,2,1,104,False
2,left,test,16,7,7,1,62,False
2,left,test,17,1,7,0,46,False
2,left,test,18,6,6,1,69,False
2,left,test,19,4,4,1,74,False
2,left,test,20,6,6,1,76,False
2,left,test,21,1,1,1,71,False
2,left,test,22,0,0,1,117,False
2,left,test,23,1,1,1,,False
2,left,test,24,4,4,1,106,False
2,left,test,25,5,5,1,59,False
2,left,test,26,6,6,1,47,False
2,left,test,27,5,5,1,49,False
2,left,test,28,1,1,1,87,False
2,left,test,29,6,6,1,44,False
2,left,test,30,4,4,1,86,False
2,left,test,31,3,3,1,94,False
2,left,test,32,7,7,1,94,False
2,left,test,33,3,3,1,49,False
2,left,test,34,5,5,1,93,False
2,left,test,35,7,7,1,63,False
2,left,test,36,2,2,1,73,False
2,left,test,37,0,0,1,95,False
2,left,test,38,5,5,1,61,False
2,left,test,39,5,5,1,53,False
2,left,test,40,5,5,1,65,False
2,left,test,41,1,1,1,62,False
2,left,test,42,0,0,1,52,False
2,left,test,43,2,2,1,69,False
2,left,test,44,3,3,1,68,False
2,left,test,45,3,3,1,61,False
2,left,test,46,7,7,1,58,False
2,left,test,47,2,2,1,46,False
2,left,test,48,6,6,1,83,False
2,left,test,49,1,1,1,93,False
2,left,test,50,2,2,1,124,False
2,left,test,51,5,5,1,56,False
2,left,test,52,4,4,1,33,False
2,left,test,53,0,0,1,114,False
2,left,test,54,7,7,1,48,False
2,left,test,55,0,0,1,81,False
2,left,test,56,7,7,1,88,False
2,left,test,57,3,3,1,56,False
2,left,test,58,6,6,1,50,False
2,left,test,59,0,0,1,70,False
2,left,test,60,4,4,1,50,False
